Country Name,Country Code,GDP per capita,CPI, GDP deflator,BOP,Current Account (% GDP),Unemployment,Gini,Gross savings (% of GDP),Gross Savings,Net FDI,Consumption (% of GDP),Consumption,Value Added,LFPR,Trade (% of GDP)
Afghanistan,AFG,561.7787463,2.169452176,5.123374899,-3804908930,-19.54340022,8.840999603,,-11.00288779,-2142154667,-85734571.43,124.4221086,26714480327,4371467336,54.23400116,55.92122685
Albania,ALB,4124.98239,1.282798834,-0.211713212,-900657353.2,-7.591600873,15.22000027,29,16.37615048,1942844545,-1037166341,89.65459585,11400754535,2939180899,56.27799988,74.79398213
Algeria,DZA,3916.881571,6.397714109,0.889903894,-26178953918,-16.4596684,10.19999981,27.6,34.05159497,54158754221,-1590573511,63.55946267,1.00538E+11,96148989584,41.40800095,56.27204229
American Samoa,ASM,11834.74523,,2.534046599,,,,,,,,,,,,158.5106383
Andorra,AND,36988.62203,,0.691296546,,,,,,,,,,,,
Angola,AGO,3308.700233,34.7361593,27.42131464,-3070971745,-3.221238943,7.723999977,,2.889342644,2754558038,-1356672519,90.99759895,,,77.6760025,59.46033479
Antigua and Barbuda,ATG,14462.17628,-0.489437796,1.555462645,2204861.306,0.151002931,,,,,-42426119.68,,,208746358.8,,88.7302849
Argentina,ARG,12440.32098,,40.67530965,-14693041563,-2.693617827,8.395999908,42.7,13.65028227,74459027816,-1473633407,84.33808234,3.82636E+11,1.028E+11,59.9640007,26.26615514
Armenia,ARM,3614.688357,-1.271210454,0.517324492,-238118671.5,-2.252288612,18.04000092,32.4,16.20062585,1712778498,-271911637,91.15489023,8924110828,3252920370,59.90100098,75.73000666
Aruba,ABW,,-0.893020019,,141069536.3,,,,,,-20488564.25,,,,,
Australia,AUS,49755.31548,1.276990945,-0.413723214,-37026041605,-3.073678922,5.71999979,34.7,21.52322688,2.59272E+11,-45085781983,76.67892951,9.88217E+11,3.371E+11,64.89299774,39.9516214
Austria,AUT,44757.6349,0.891590693,1.088852144,8291061468,2.121561324,6.010000229,30.5,26.01260487,1.01657E+11,1320842299,72.89533121,3.04235E+11,1.08241E+11,60.4280014,101.1670127
Azerbaijan,AZE,3878.709257,4.179993538,14.61143201,-1363404000,-3.602341577,5,,21.32686515,8071731297,-1926065000,72.29077253,,34457284404,66.2480011,90.12445027
"Bahamas, The",BHS,28785.47767,-0.34637693,0.028280391,-1106292887,-9.823410885,12.69999981,,17.37465184,1956698541,-73723568.41,80.81922961,6849072115,1085543251,75.69499969,76.73640093
Bahrain,BHR,22579.09342,2.798520013,,,,1.251000047,,,,,62.07748694,,,71.86499786,139.439126
